,m,build_year,location,floor,id,market,price,price_per_m2,date_created,date_lastmod,rooms,builttype,url
134,68.8,1969,lublin,floor_4,63274815,secondary,549000,7980,2022-07-07 12:52:55,2022-08-06 16:26:08,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-lsm-niski-blok-z-winda-ID4huFx.html
135,62,2017,lublin,floor_5,63324627,secondary,580000,9355,2022-07-21 12:05:54,2022-08-05 22:11:45,3,block,https://www.otodom.pl/pl/oferta/bronowice-3-pokoje-duzy-balkon-ID4hHCX.html
136,,,,,,,,,,,,,
137,38.9,1974,lublin,floor_10,63376178,secondary,299000,7686,2022-08-05 16:20:47,2022-08-05 21:40:58,2,block,https://www.otodom.pl/pl/oferta/lublin-kalinowszczyzna-ul-tumidajskiego-2-pokoje-ID4hW2q.html
138,60,2016,lublin,floor_2,62982255,secondary,750000,12500,2022-04-13 12:51:24,2022-08-05 18:18:52,3,block,https://www.otodom.pl/pl/oferta/mieszkanie-wiktoryn-ID4ggyP.html
139,,,,,,,,,,,,,
140,64.5,1983,lublin,floor_1,63340684,secondary,499000,7736,2022-07-26 18:42:46,2022-08-05 17:38:51,3,house,https://www.otodom.pl/pl/oferta/bezczynszowe-mieszkanie-64-5m2-w-domu-dzielnica-ID4hLNV.html
141,,,,,,,,,,,,,
142,,,,,,,,,,,,,
143,,,,,,,,,,,,,
144,,,,,,,,,,,,,
145,,,,,,,,,,,,,
146,45.43,2022,lublin,floor_1,63375951,primary,515000,11336,2022-08-05 15:32:02,2022-08-07 15:33:23,2,block,https://www.otodom.pl/pl/oferta/nowe-i-gotowe-2-pokoje-bezposrednio-bez-pcc-ID4hUYL.html
147,,,,,,,,,,,,,
148,47.23,2008,lublin,ground_floor,63241723,secondary,449000,9507,2022-06-28 13:55:45,2022-08-08 15:55:36,3,block,https://www.otodom.pl/pl/oferta/ponikwoda-3-pokoje-z-2008r-blisko-um-ID4hm3N.html
149,,,,,,,,,,,,,
150,47.9,1974,lublin,floor_10,63313723,secondary,345000,7203,2022-07-18 15:45:11,2022-08-05 13:54:41,2,block,https://www.otodom.pl/pl/oferta/2-pokoje-lsm-inwestycyjne-do-wynajmu-ID4hEN5.html
151,48.9,1984,lublin,floor_2,63327974,secondary,410000,8384,2022-07-22 11:11:20,2022-08-05 13:42:59,2,block,https://www.otodom.pl/pl/oferta/czuby-tatarakowa-49m2-2-pokoje-ii-pietro-ID4hIuV.html
152,,,,,,,,,,,,,
153,45.78,1930,lublin,floor_2,63312196,secondary,279000,6094,2022-07-18 11:40:50,2022-08-05 12:05:35,2,tenement,https://www.otodom.pl/pl/oferta/dziesiata-klimatyczne-2-pokoje-w-kamienicy-ID4hEos.html
154,64,2021,lublin,floor_2,63327953,secondary,529000,8266,2022-07-22 11:10:01,2022-08-07 17:26:53,3,block,https://www.otodom.pl/pl/oferta/piekne-sloneczne-mieszkanie-obok-eko-park-kwarcowa-ID4hIuB.html
